DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2019,106.19,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2020,108.33,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2021,109.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2022,116.93,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2023,131.37,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2024,133.16,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2015,100.0,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2016,100.2,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2017,102.2,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2018,103.4,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2019,104.2,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2020,105.7,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2021,106.3,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2022,116.2,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2023,128.0,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Italy,2024,131.2,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2016,100.95,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2017,103.62,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2018,104.43,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2019,108.63,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2020,110.67,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2021,110.45,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2022,122.31,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2023,136.84,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Netherlands,2024,139.16,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2016,100.49,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2017,102.04,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2018,102.79,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2019,103.13,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2020,105.26,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2021,106.03,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2022,119.82,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2023,131.83,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Portugal,2024,134.92,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2016,100.64,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2017,102.96,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2018,104.48,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2019,105.79,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2020,108.30,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2021,109.06,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2022,120.68,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2023,133.71,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Austria,2024,136.61,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2016,101.93,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2017,102.67,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2018,104.71,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2019,105.42,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2020,108.36,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2021,107.89,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2022,117.74,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2023,134.37,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Belgium,2024,137.22,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2015,100.0,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2016,101.0,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2017,104.0,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2018,106.5,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2019,108.0,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2020,110.6,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2021,114.1,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2022,129.2,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2023,145.8,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Germany,2024,148.4,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2016,101.41,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2017,102.69,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2018,104.33,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2019,105.39,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2020,107.92,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2021,109.68,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2022,122.72,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2023,136.97,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,Spain,2024,141.75,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,France,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,France,2016,100.66,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,France,2017,101.80,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food,France,2018,103.89,,
